Battle Name,Description
Battle of Stamford Bridge,"The Battle of Stamford Bridge (Old English: Gefeoht æt Stanfordbrycge) took place at the village of Stamford Bridge, East Riding of Yorkshire, in England, on 25 September 1066, between an English army under King Harold Godwinson and an invading Norwegian force led by King Harald Hardrada and the English king's brother Tostig Godwinson. After a bloody battle, both Hardrada and Tostig, along with most of the Norwegians, were killed. Although Harold Godwinson repelled the Norwegian invaders, his army was defeated by the Normans at Hastings less than three weeks later. The battle has traditionally been presented as symbolising the end of the Viking Age, although major Scandinavian campaigns in Britain and Ireland occurred in the following decades, such as those of King Sweyn Estrithson of Denmark in 1069–1070 and King Magnus Barefoot of Norway in 1098 and 1102–1103."
Battle of Steenkerque,"The Battle of Steenkerque, also known as Steenkerke, Steenkirk, Steynkirk or Steinkirk was fought on 3 August 1692, during the Nine Years' War, near Steenkerque, then part of the Spanish Netherlands but now in modern Belgium A French force under Marshal François-Henri de Montmorency, duc de Luxembourg, repulsed a surprise attack by an Allied army led by William of Orange. After several hours of heavy fighting the Allies were forced to retreat, although a French counterattack proved fruitless."
Battle of Stiklestad,"The Battle of Stiklestad (Norwegian: Slaget på Stiklestad, Old Norse: Stiklarstaðir) in 1030 is one of the most famous battles in the history of Norway. In this battle, King Olaf II of Norway (Óláfr Haraldsson) was killed. During the pontificate of Pope Alexander III, the Roman Catholic Church declared Olaf a saint in 1164.
His younger half-brother, Harald Hardrada (Haraldr Haraldsson harðráði), was also present at the battle. Harald was only fifteen when the battle of Stiklestad took place. He became King of Norway in 1047, until his death in a failed invasion of England at the Battle of Stamford Bridge in 1066.
The authenticity of the battle as a historical event is subject to question. Contemporary sources say the king was murdered. According to the Anglo Saxon Chronicle of 1030, Olaf was killed by his own people. Adam of Bremen wrote in 1070 that Olaf was killed in an ambush, and so did Florence of Worcester in 1100. Those are the only contemporary sources that mention the death of the king. After the king's canonization it was felt that the saint could not have died in such circumstances. The story of the Battle of Stiklestad as most know it gradually developed during the two centuries following the death of King Olaf. Since he was sainted, Olaf must have fallen in a major battle for Christianity."
Battle of Stirling (1648),"The second Battle of Stirling was fought on 12 September 1648 during the Scottish Civil War of the 17th century. The battle was fought between the Engagers who were a faction of the Scottish Covenanters under the command of George Munro, 1st of Newmore and who had made ""The Engagement"" with Charles I of England in December 1647, against the Kirk Party who were a radical Presbyterian faction of the Scottish Covenanters who were under the command of  Archibald Campbell, 1st Marquess of Argyll."
Battle of Stirling Bridge,"The Battle of Stirling Bridge (Scottish Gaelic: Blàr Drochaid Shruighlea) was fought during the First War of Scottish Independence. On 11 September 1297, the forces of Andrew Moray and William Wallace defeated the combined English forces of John de Warenne, 6th Earl of Surrey, and Hugh de Cressingham near Stirling, on the River Forth."
Battle of Stockach (1800),"The Battles of Stockach and Engen were fought on 3 May 1800 between the army of the First French Republic under Jean Victor Marie Moreau and the army of the Habsburg monarchy led by Paul Kray. The fighting near Engen resulted in a stalemate. However, while the two main armies were engaged at Engen, Claude Lecourbe captured Stockach from its Austrian defenders (the latter commanded by Joseph Louis, Prince of Lorraine-Vaudémont). The loss of his main supply base at Stockach compelled Kray to order a retreat. Stockach is located near the northwestern end of Lake Constance while Engen is 20 kilometres (12 mi) west of Stockach. The action occurred during the War of the Second Coalition, part of the French Revolutionary Wars."
Battle of Stoke Field,"The Battle of Stoke Field on 16 June 1487 may be considered the last battle of the Wars of the Roses, since it was the last major engagement between contenders for the throne whose claims derived from descent from the houses of Lancaster and York respectively. The Battle of Bosworth Field, two years previously, had established Henry VII on the throne, ending the last period of Yorkist rule and initiating that of the Tudors. The Battle of Stoke Field was the decisive engagement in an attempt by leading Yorkists to unseat him in favour of the pretender Lambert Simnel.
Though it is often portrayed as almost a footnote to the major battles between York and Lancaster, it may have been slightly larger than Bosworth, with much heavier casualties, possibly because of the terrain which forced the two sides into close, attritional combat. In the end, though, Henry's victory was crushing. Almost all the leading Yorkists were killed in the battle."
Battle of Stångebro,"The Battle of Stångebro, or the Battle of Linköping, took place at Linköping, Sweden, on 25 September 1598 (O.S.)  and effectively ended the personal union between Sweden and the Polish–Lithuanian Commonwealth, that had existed since 1592.  In the battle, an army of c. 8,000–12,000 commanded by Duke Charles defeated a mixed force of c. 5,000–8,000 consisting of an invading army of mercenaries in the king's employ and diverse but poorly co-ordinated supporting Swedish noblemen's forces commanded by King of both Sweden and the Polish–Lithuanian Commonwealth Sigismund III Vasa, who was acting to maintain and restore his personal union against anti-Catholic forces in Lutheran Sweden. The Swedish king's general Constantin fought at the western bridge.
The battle was the beginning of the seven decades long Polish–Swedish Wars, which eventually destroyed the Polish-Lithuanian Commonwealth, at the time, arguably the largest nation state in Europe and also led to fall of Swedish Empire in 1721. Like the Thirty Years' War which also involved Sweden, under the surface, the dynastic struggles were rooted firmly in religious strife between Protestants and Roman Catholics during the ongoing European wars of religion.
Sigismund was captured during the battle, but as the Polish-Lithuanian crowned head of state, was allowed to return to the commonwealth. He had engendered the civil war by violating his pledge to not interfere in religious matters in Sweden, nor to further the Catholic cause in Sweden."
Battle of Suiyang,"The siege of Suiyang (Chinese: 睢陽之戰; pinyin: Suīyáng zhī zhàn) was a military campaign during the An Lushan Rebellion, launched by the rebel Yan army to capture the city of Suiyang from the loyalist forces of the Tang army. Although the battle was ultimately won by the Yan army, it suffered a major loss of manpower and time. The battle was noted for the Tang army's determination to fight to the last man, as well as the large-scale cannibalism that occurred during the siege."
Battle of Surat,"Battle of Surat, also known as the Sack of Surat, was a land battle that took place on 5 January 1664, near the city of Surat, in present-day Gujarat, India, between Shivaji, leader of the fledgling Maratha Confederacy and Inayat Khan, a Mughal commander. The Marathas defeated the Mughal military unit posted at Surat and ransacked the city.
Surat was a wealthy port city used by the Moghals for maritime trade in the Arabian Sea. The city was populated mostly by Hindus, but there were Muslims & others as well; including the officials of the Moghal administration at the city. According to historian James Grant Duff, Surat was attacked by Shivaji on 5 January 1664; the attack was so sudden that the population had no chance to flee, the violent plunder of the Mahratta forces continued for six days & two-thirds of the city was burnt down. The loot was then transferred to Rajgad fort hidden in the Western Ghauts near Poona (Pune)."
Battle of Svistov,"The Battle of Svistov took place during the Russo-Turkish War of 1877–1878. It was fought between the Ottoman Empire and Imperial Russia on 26 June 1877. It occurred when Russian general Mikhail Ivanovich Dragomirov crossed the Danube River in a fleet of small boats and attacked the Turkish fortress. The next day, Mikhail Skobelev attacked, forcing the Turkish garrison to surrender. In result, the Russian military became ready to attack Nikopol."
Battle of Syracuse (415 BC),"The Sicilian Expedition was an Athenian military expedition to Sicily, which took place from 415–413 BC during the Peloponnesian War between Athens on one side and Sparta, Syracuse and Corinth on the other. The expedition ended in a devastating defeat for the Athenian forces, severely impacting Athens.
The expedition was hampered from the outset by uncertainty in its purpose and command structure—political maneuvering in Athens swelled a lightweight force of twenty ships into a massive armada, and the expedition's primary proponent, Alcibiades, was recalled from command to stand trial before the fleet even reached Sicily. Still, the Athenians achieved early successes. Syracuse, the most powerful state in Sicily, responded exceptionally slowly to the Athenian threat and, as a result, was almost completely invested before the arrival of back-up in the form of Spartan general Gylippus, who galvanized its inhabitants into action. From that point forward, however, as the Athenians ceded the initiative to their newly energized opponents, the tide of the conflict shifted. A massive reinforcing armada from Athens briefly gave the Athenians the upper hand once more, but a disastrous failed assault on a strategic high point and several crippling naval defeats damaged the Athenian soldiers' ability to continue fighting and maintain morale. The Athenians attempted a last-ditch evacuation from Syracuse. The evacuation failed, and nearly the entire expedition was captured or was destroyed in Sicily.
The effects of the defeat were immense. Two hundred ships and thousands of soldiers, an appreciable portion of Athens' total manpower, were lost in a single stroke. The city's enemies on the mainland and in Persia were encouraged to take action, and rebellions broke out in the Aegean. Some historians consider the defeat to have been the turning point in the war, though Athens continued to fight for another decade. Thucydides observed that contemporary Greeks were shocked not that Athens eventually fell after the defeat, but rather that it fought on for as long as it did, so devastating were the losses suffered. Athens managed to recover remarkably well from the expedition materially, the principal issue being the loss of manpower rather than the loss of ships."
Battle of Tagliacozzo,"The Battle of Tagliacozzo was fought on 23 August 1268 between the Ghibelline supporters of Conradin of Hohenstaufen and the Guelph army of Charles of Anjou. The battle represented the last act of Hohenstaufen power in Italy. The capture and execution of Conradin a couple of months after the battle also marked the fall of the family from the Imperial and Sicilian thrones, leading to the new chapter of Angevin domination in Southern Italy."
Battle of Taierzhuang,"The Battle of Taierzhuang (Chinese: 臺兒莊會戰; pinyin: Tái'érzhuāng Huìzhàn) took place during the Second Sino-Japanese War in 1938. It was fought between the armies of the Republic of China and the Empire of Japan. The battle was that war's first major Chinese victory. It humiliated the Japanese military and its reputation as an invincible force; for the Chinese, it represented a tremendous morale boost.
The battle was characterized by vicious close quarters combat. The cramped conditions of urban warfare neutralized Japanese advantages in cannon and heavy artillery. Unlike previous engagements, the Chinese managed to resupply their troops whilst also preventing the Japanese from doing the same. After two weeks of heavy fighting, the Japanese were forced out of Taierzhuang with heavy casualties. 
Tai'erzhuang is located on the eastern bank of the Grand Canal of China and was a frontier garrison northeast of Xuzhou. It was also the terminus of a local branch railway from Lincheng. Xuzhou itself was the junction of the Jinpu railway (Tianjin-Pukou), the Longhai railway (Lanzhou-Lianyungang), and the headquarters of the KMT's 5th War Zone."
Battle of Taku Forts (1900),The Battle of the Taku or Battle of Dagu Forts (Chinese: 大沽口炮台之戰) was a short engagement during the Boxer Rebellion between the Chinese Qing dynasty military and forces belonging to the Eight Nation Alliance in June 1900. European and Japanese naval forces captured the Taku forts after a brief but bloody battle with units of the Qing dynasty. Their loss prompted the Qing government to side with the Boxers while the Chinese army was ordered to resist all foreign military forces within Chinese territory. Allied powers remained in control of the forts until the end of the Boxer Rebellion in September 1901.
Battle of Talas,"The Battle of Talas (Chinese: 怛羅斯戰役 Dáluósī zhànyì; Arabic: معركة نهر طلاس Maʿrakat nahr Ṭalās) was an armed confrontation between the Abbasid Caliphate and the Tibetan Empire against the Tang dynasty in 751 AD. In July of that year, the Tang and Abbasid armies clashed at the Talas River over control of the regions surrounding the Syr Darya. According to Chinese sources, it was initially marked by several days of military stalemate before the balance of power was decisively tipped in the Abbasids' favour due to the defection of a Tang-allied mercenary column, consisting of some 20,000 Karluk Turks, who subsequently played a vital role in routing the Tang army.
This defeat was seen by the Western world as the end of the Tang dynasty's westward expansion. However, the caliph quickly dispatched an envoy to Chang'an, who arrived on 7 December 752 to ask for the restoration of diplomatic relations. In response, the Tang emperor forgave the Abbasids' provocation, but continued to expand into Central Asia; the Tang army, under the leadership of Feng Changqing, launched an offensive against the Great Blue Kingdom in present-day Kashmir in 753. By 821, the Arab Muslims had lost direct control over their Central Asian territories, and the Turkic-origin Ghaznavids rose to power in the region in 977. The gains brought about by the Muslim conquest of Transoxiana were entirely lost in 1124, when the non-Muslim Qara Khitai conquered the region. The Abbasids placed great value on controlling this area as it was a strategic point on the Silk Road; Chinese prisoners captured at Talas in 751 are said to have introduced papermaking to the peoples of West Asia."
Battle of Talavera,"The Battle of Talavera (27–28 July 1809) was fought just outside the town of Talavera de la Reina, Spain some 120 kilometres (75 mi) southwest of Madrid, during the Peninsular War. At Talavera, a British army under Sir Arthur Wellesley combined with a Spanish army under General Cuesta fought in operations against French-occupied Madrid. At nightfall, the French army withdrew a short distance after several of its attacks had been repulsed; the allies, having suffered comparable casualties to the French, made no attempt to pursue.
After Marshal Soult's French army had retreated from Portugal, General Wellesley's 20,000 British troops advanced into Spain to join 33,000 Spanish troops under General Cuesta. They marched up the Tagus valley to Talavera, some 120 kilometres (75 mi) southwest of Madrid. There they encountered 46,000 French under Marshal Claude Victor and Major-General Horace Sébastiani, with the French king of Spain, Joseph Bonaparte in nominal command.
The French crossed the Alberche in the middle of the afternoon on 27 July. A few hours later, the French attacked the right of the Spaniards and the British left. A strategic hill was taken and lost, until, finally, the British held it firmly. At daybreak on 28 July, the French attacked the British left again to retake the hill and were repulsed when the 29th Foot and 48th Foot who had been lying behind the crest stood up and carried out a bayonet charge. A French cannonade lasted until noon, when a negotiated armistice of two hours began. That afternoon, a heavy exchange of cannon fire started ahead of various infantry and cavalry skirmishes. Early in the evening, a major engagement resulted in the French being held off. A cannon duel continued until dark. At daylight, the British and Spanish discovered that the bulk of the French force had retired, leaving their wounded and two brigades of artillery in the field. Wellesley was ennobled as Viscount Wellington of Talavera and of Wellington for the action."
Battle of Tanagra (457 BC),"The Battle of Tanagra was a land battle that took place in 457 BC between Athens and Sparta during the First Peloponnesian War. Tension between Athens and Sparta had built up due the rebuilding of Athens' walls and Spartan rejection of Athenian military assistance. The Athenians were led by Myronides and held a strength of 14,000. The Spartans were led by Nicomedes and had a total of 11,500 soldiers. Both sides suffered losses; however, the Spartans left victorious."
Battle of Tannenberg,"The Battle of Tannenberg, also known as the Second Battle of Tannenberg, was fought between Russia and Germany between 23 and 30 August 1914, the first month of World War I. The battle resulted in the almost complete destruction of the Russian Second Army and the suicide of its commanding general, Alexander Samsonov. A series of follow-up battles (First Masurian Lakes) destroyed most of the First Army as well and kept the Russians off balance until the spring of 1915.
The battle is particularly notable for fast rail movements by the German Eighth Army, enabling them to concentrate against each of the two Russian armies in turn, first delaying the First Army and then destroying the Second before once again turning on the First days later. It is also notable for the failure of the Russians to encode their radio messages, broadcasting their daily marching orders in the clear, which allowed the Germans to make their movements with the confidence they would not be flanked.
The almost miraculous outcome brought considerable prestige to Field Marshal Paul von Hindenburg and his rising staff-officer Erich Ludendorff. Although the battle actually took place near Allenstein (Olsztyn), Hindenburg named it after Tannenberg, 30 km (19 mi) to the west, in order to avenge the Teutonic Knights' defeat at the First Battle of Tannenberg 500 years earlier."
Battle of Tarawa,"The Battle of Tarawa was fought on 20–23 November 1943 between the United States and Japan at the Tarawa Atoll in the Gilbert Islands, and was part of Operation Galvanic, the U.S. invasion of the Gilberts. Nearly 6,400 Japanese, Koreans, and Americans died in the fight, mostly on and around the small island of Betio, in the extreme southwest of Tarawa Atoll.
The Battle of Tarawa was the first American offensive in the critical Central Pacific region. It was also the first time in the Pacific War that the United States faced serious Japanese opposition to an amphibious landing. Previous landings had met little to no initial resistance, but on Tarawa the 4,500 Japanese defenders were well supplied and well prepared, and they fought almost to the last man, exacting a heavy toll on the United States Marine Corps. The losses on Tarawa were incurred within 76 hours."
Battle of Tashkessen,"The Battle of Tashkessen or Battle of Tashkesan (Turkish: Taşkesen Muharebesi) took place during the Russo-Turkish War of 1877–1878. It was fought between the Ottoman Empire and the Russian Empire on December 31, 1877, in what is now Bulgaria."
Battle of Tassafaronga,"The Battle of Tassafaronga, sometimes referred to as the Fourth Battle of Savo Island or in Japanese sources as the Battle of Lunga Point (ルンガ沖夜戦, ""Night Battle off Lunga""), was a nighttime naval battle that took place on 30 November 1942 between United States Navy and Imperial Japanese Navy warships during the Guadalcanal campaign. The battle took place in Ironbottom Sound near Tassafaronga Point on Guadalcanal.
In the battle, a US force of five cruisers and four destroyers under the command of Rear Admiral Carleton H. Wright intercepted eight Japanese destroyers attempting to deliver food to their forces on Guadalcanal. The US destroyers waited four minutes after radar contact for permission to launch torpedoes and missed the optimal firing position; the torpedoes all missed, and the destroyers retired. The US cruisers opened fire and sank one destroyer. The muzzle flash exposed the US cruisers' positions. Under the command of Rear Admiral Raizō Tanaka, Japanese destroyers quickly launched Type 93 ""Long Lance"" torpedoes, sinking one US cruiser and heavily damaging three others. The rest of Tanaka's force escaped undamaged but failed to complete the intended supply mission.
Rear Admiral Samuel J. Cox, director of the Naval History and Heritage Command, considers this battle and the Battle of Savo Island to be two of the worst defeats in US naval history, behind only Pearl Harbor."
Battle of Tchernaïa,"The Battle of the Chernaya (also Tchernaïa; Russian: Сражение у Черной  речки, Сражение у реки Черной, literally: Battle of the Black River) was fought by the Chyornaya River during the Crimean War on August 16, 1855. The battle was fought between Russian troops and French and Piedmontese troops. The Chyornaya River is on the outskirts of Sevastopol.  The battle ended in a Russian retreat and a victory for the French and Piedmontese."
Battle of Temesvár,"The Battle of Temesvár (now Timișoara, Romania) was a key battle in the Hungarian Revolution of 1848, fought on 9 August 1849 between the Austrian Empire, led by Field Marshal Julius Jacob von Haynau, and the Hungarian Revolutionary Army (supplemented by Polish volunteers), led by Lieutenant General Józef Bem. Hungarian forces under Bem, together with siege corps led by Major General Károly Vécsey, totalled 55,000 soldiers. Austrian forces under Haynau totalled 38,000 soldiers, although their numerical disadvantage was mitigated by superior artillery. The battle resulted in an Austrian victory and was the decisive engagement of the war, which ended in defeat for the Hungarians.
After the Hungarian defeat at the Battle of Szőreg, Lieutenant General Henryk Dembiński led his Hungarian troops to Temesvár and was about to give the order to retreat toward Lugos when Lieutenant General Józef Bem arrived at the camp with an order from Governor Lajos Kossuth to replace Dembiński. Bem wanted to march toward Arad, but changed his mind on hearing that the Austrian army led by Haynau was nearby. He gave an order to attack, hoping to boost the morale of his demoralized army with a victory.
The battle started well for the Hungarians, with Bem repulsing Haynau's initial attack. However, Vécsey's siege corps ran out of artillery ammunition early on, as Dembiński had previously sent it ahead to Lugos and failed to inform Bem. The Polish general still hoped to win the battle and rode with the first line of his troops, but suffered a serious injury when he fell from his horse, resulting in his removal from the battlefield and further demoralization of the Hungarian troops. During a retreat, panic broke out among the Hungarian rookies and spread to the whole army, causing a rout. The Austrians took 6,000–7,000 prisoners and only about 20,000–30,000 men from the Hungarian army could be regathered at Lugos.
The defeat prevented the Hungarian main army from joining together with the Army of the Upper Danube (under General Artúr Görgei), which had been the last hope of Kossuth and Görgei for continuing the resistance. When he heard about the defeat, Kossuth resigned. In order to avoid further bloodshed, the Hungarian council of war decided on 11 August to surrender to Russian troops (which had entered the conflict on the side of the Austrians). On 13 August, Görgei signed official terms of surrender at Világos (now Șiria, Romania), ending the revolution."
Battle of Teruel,"The Battle of Teruel was fought in and around the city of Teruel during the Spanish Civil War between December 1937 and February 1938, during the worst Spanish winter in 20 years. The battle was one of the bloodiest actions of the war, with the city changing hands several times by first falling to the Republicans and eventually being retaken by the Nationalists. In the course of the fighting, Teruel was subjected to heavy artillery and aerial bombardment. In the two-month battle, both factions together took 110,000 casualties.
With his superiority in men and material, the Nationalist leader Francisco Franco regained Teruel. This battle became the military turning point of the war."
Battle of Tetovo,"The Battle of Tetovo (Macedonian: Битка за Тетово, romanized: Bitka za Tetovo, Albanian: Beteja e Tetovës), was the largest engagement during the 2001 insurgency in the Republic of Macedonia, in which Macedonian security forces battled the National Liberation Army (NLA) for control of the city."
Battle of Tewkesbury,"The Battle of Tewkesbury, which took place on 4 May 1471, was one of the most decisive battles of the Wars of the Roses in England. 
King Edward IV and his forces loyal to the House of York completely defeated those of the rival House of Lancaster. The Lancastrian heir to the throne, Edward of Westminster, Prince of Wales, and many prominent Lancastrian nobles were killed during the battle or executed. The Lancastrian king, Henry VI, who was a prisoner in the Tower of London, died shortly after the battle, perhaps murdered. Tewkesbury restored political stability to England until the death of Edward IV in 1483."
Battle of Texel,"The naval Battle of Texel or Battle of Kijkduin took place off the western coast of the island of Texel on 21 August 1673 (11 August O.S.) between the Dutch and the combined English and French fleets. It was the last major battle of the Third Anglo-Dutch War, which was itself part of the Franco-Dutch War (1672–1678), during which Louis XIV of France invaded the Republic and sought to establish control over the Spanish Netherlands. English involvement came about because of the Treaty of Dover, secretly concluded by Charles II of England, and which was highly unpopular with the English Parliament.
The overall commanders of the English and Dutch military forces were Lord High Admiral James, Duke of York, later James II, and Admiral-General William III of Orange, his son-in-law and another future King of England. Neither of them took part in the fight.
Prince Rupert of the Rhine commanded the Allied fleet of more than 100 warships and 28 fireships, taking control of the centre himself, with Jean II d'Estrées commanding the van, and Sir Edward Spragge the rear division. The Dutch fleet of 75 warships and 22 fireships was commanded by Lieutenant-Admiral-General Michiel de Ruyter, with Lieutenant-Admirals Adriaen Banckert in charge of the van and Cornelis Tromp the rear. Although the Dutch ships were smaller on average than their opponents, their crews were better trained and more experienced."
Battle of Thapsus,"The Battle of Thapsus was a military engagement that took place on April 6, 46 BC near Thapsus (in modern Tunisia). The forces of the Optimates, led by Quintus Caecilius Metellus Scipio, were defeated by the forces of Julius Caesar. It was followed shortly by the suicides of Scipio and his ally, Cato the Younger, the Numidian King Juba, and his Roman peer Marcus Petreius."
Battle of Thermopylae,"The Battle of Thermopylae ( thər-MOP-i-lee; Greek: Μάχη τῶν Θερμοπυλῶν, Máchē tōn Thermopylōn) was fought in 480 BC between the Achaemenid Persian Empire under Xerxes I and an alliance of Greek city-states led by Sparta under Leonidas I. Lasting over the course of three days, it was one of the most prominent battles of both the second Persian invasion of Greece and the wider Greco-Persian Wars.
The engagement at Thermopylae occurred simultaneously with the naval Battle of Artemisium: between July and September 480 BC. The second Persian invasion under Xerxes I was a delayed response to the failure of the first Persian invasion, which had been initiated by Darius I and ended in 490 BC by an Athenian-led Greek victory at the Battle of Marathon. By 480 BC, a decade after the Persian defeat at Marathon, Xerxes had amassed a massive land and naval force, and subsequently set out to conquer all of Greece. In response, the Athenian politician and general Themistocles proposed that the allied Greeks block the advance of the Persian army at the pass of Thermopylae while simultaneously blocking the Persian navy at the Straits of Artemisium.
Around the start of the invasion, a Greek force of approximately 7,000 men led by Leonidas marched north to block the pass of Thermopylae. Ancient authors vastly inflated the size of the Persian army, with estimates in the millions, but modern scholars estimate it at between 120,000 and 300,000 soldiers. They arrived at Thermopylae by late August or early September; the outnumbered Greeks held them off for seven days (including three of direct battle) before their rear-guard was annihilated in one of history's most famous last stands. During two full days of battle, the Greeks blocked the only road by which the massive Persian army could traverse the narrow pass. After the second day, a local resident named Ephialtes revealed to the Persians the existence of a path leading behind the Greek lines. Subsequently, Leonidas, aware that his force was being outflanked by the Persians, dismissed the bulk of the Greek army and remained to guard their retreat along with 300 Spartans and 700 Thespians. It has been reported that others also remained, including up to 900 helots and 400 Thebans. With the exception of the Thebans, most of whom reportedly surrendered, the Greeks fought the Persians to the death.
Themistocles was in command of the Greek naval force at Artemisium when he received news that the Persians had taken the pass at Thermopylae. Since the Greek defensive strategy had required both Thermopylae and Artemisium to be held, the decision was made to withdraw to the island of Salamis. The Persians overran Boeotia and then captured the evacuated city of Athens. The Greek fleet—seeking a decisive victory over the Persian armada—attacked and defeated the invading force at the Battle of Salamis in late 480 BC. Wary of being trapped in Europe, Xerxes withdrew with much of his army to Asia, reportedly losing many of his troops to starvation and disease while also leaving behind the Persian military commander Mardonius to continue the Achaemenid Empire's Greek campaign. However, the following year saw a Greek army decisively defeat Mardonius and his troops at the Battle of Plataea, ending the second Persian invasion.
Both ancient and modern writers have used the Battle of Thermopylae as a flagship example of the power of an army defending its native soil. The performance of the Greek defenders is also used as an example of the advantages of training, equipment, and use of terrain as force multipliers."
Battle of Ticonderoga (1759),"The 1759 Battle of Ticonderoga was a minor confrontation at Fort Carillon (later renamed Fort Ticonderoga) on July 26 and 27, 1759, during the French and Indian War.  A British military force of more than 11,000 men under the command of General Sir Jeffery Amherst moved artillery to high ground overlooking the fort, which was defended by a garrison of 400 Frenchmen under the command of Brigadier General François-Charles de Bourlamaque.
Rather than defend the fort, de Bourlamaque, operating under instructions from General Louis-Joseph de Montcalm and New France's governor, the Marquis de Vaudreuil, withdrew his forces, and attempted to blow up the fort.  The fort's powder magazine was destroyed, but its walls were not severely damaged.  The British then occupied the fort, which was afterwards known by the name Fort Ticonderoga. They embarked on a series of improvements to the area and began construction of a fleet to conduct military operations on Lake Champlain.
The French tactics were sufficient to prevent Amherst's army from joining James Wolfe at the Battle of the Plains of Abraham. However, they also tied up 3,000 of their own troops that were not able to assist in Quebec's defense. The capture of the fort, which had previously repulsed a large British army a year earlier, contributed to what the British called the ""Annus Mirabilis"" of 1759."
Battle of Tippecanoe,"The Battle of Tippecanoe ( TIP-ə-kə-NOO) was fought on November 7, 1811, in Battle Ground, Indiana, between American forces led by then Governor William Henry Harrison of the Indiana Territory and tribal forces associated with Shawnee leader Tecumseh and his brother Tenskwatawa (commonly known as ""The Prophet""), leaders of a confederacy of various tribes who opposed European-American settlement of the American frontier. As tensions and violence increased, Governor Harrison marched with an army of about 1,000 men to attack the confederacy's headquarters at Prophetstown, near the confluence of the Tippecanoe River and the Wabash River.
Tecumseh was not yet ready to oppose the United States by force and was away recruiting allies when Harrison's army arrived. Tenskwatawa was a spiritual leader but not a military man, and he was in charge. Harrison camped near Prophetstown on November 6 and arranged to meet with Tenskwatawa the following day. Early the next morning warriors from Prophetstown attacked Harrison's army. They took the army by surprise, but Harrison and his men stood their ground for more than two hours. After the battle, Harrison's men burned Prophetstown to the ground, destroying the food supplies stored for the winter. The soldiers then returned to their homes.
Harrison accomplished his goal of destroying Prophetstown. The win proved decisive and garnered Harrison the nickname of ""Tippecanoe"". Meanwhile, the defeat dealt a fatal blow for Tecumseh's confederacy and, though comeback attempts were made, it never fully recovered. So popular was Harrison’s nickname that the Whigs turned ""Tippecanoe and Tyler too"" into the slogan and a popular song for Harrison and his running mate John Tyler's 1840 presidential campaign."
Battle of Tippermuir,"The Battle of Tippermuir (also known as the Battle of Tibbermuir) (1 September 1644) was the first battle James Graham, 1st Marquis of Montrose, fought for King Charles I in the Scottish theatre of the Wars of the Three Kingdoms. During the battle, Montrose's Royalist forces routed an army of the Covenanter-dominated Scottish government under John Wemyss, Lord Elcho. The government side took heavy losses.
The battlefield is presently inventoried and protected by Historic Environment Scotland under the Scottish Historical Environment Policy of 2009."
Battle of Tirad Pass,"The Battle of Tirad Pass (Spanish: Batalla de Paso Tirad; Tagalog: Labanan sa Pasong Tirad; Ilocano: Gubat ti Paso), sometimes referred to as the ""Philippine Thermopylae"", took place during the Philippine–American War on December 2, 1899, in northern Luzon in the Philippines. A 60-man Filipino rear guard commanded by Brigadier General Gregorio del Pilar succumbed to more than 500 Americans, mostly of the 33rd Volunteer Infantry Regiment under Major Peyton C. March, while delaying the American advance to ensure that President Emilio Aguinaldo and his troops escaped."
Battle of Tolentino,"The Battle of Tolentino was fought from 2–3 May 1815 near Tolentino, Kingdom of Naples in what is now Marche, Italy: it was the decisive battle in the Neapolitan War, fought by the Napoleonic King of Naples Joachim Murat to keep the throne after the Congress of Vienna. The battle occurred during the Hundred Days following Napoleon's return from exile and, like the Battle of Waterloo, resulted in a decisive victory for the Seventh Coalition, leading to the restoration of the previous Bourbon king, Ferdinand I."
Battle of Tololing,The Battle of Tololing was a pivotal battle in the Kargil War between India and troops from one full battalion of Pakistan’s Northern Light Infantry who were aided by Pakistani irregulars in 1999.
Battle of Torran Dubh,"The Battle of Torran Dubh also known as the Battle of Torran-dow or the Battle of Torran Du was a Scottish clan battle that was fought in 1517 in Sutherland, in the Scottish Highlands.
There are two very different accounts of this battle. The first was written by 17th-century historian Sir Robert Gordon, 1st Baronet, who himself was a younger son of Alexander Gordon, 12th Earl of Sutherland, and it describes a battle fought between the Earl of Sutherland's forces who defeated the Clan Mackay of Strathnaver. The Earldom of Sutherland having recently passed to the Gordon family through marriage. However, this version of events is disputed. Firstly, late 19th-century historian Sir William Fraser states that Alexander Sutherland, who according to Gordon led the Earl of Sutherland's force at the battle, was in prison for the whole year of 1517 when the battle is supposed to have taken place. Secondly, early 20th-century historian Angus Mackay states that the battle was actually fought between the Clan Mackay, who were defeated, but who had fought against the Murrays of Aberscross, the Clan Ross and the Clan Gunn, and cited a historic manuscript as his source. Angus Mackay also agreed with Fraser's observations about Alexander Sutherland being in prison when the battle is supposed to have taken place."
